,Gene Name,Gene Symbol,Log Stationary Phase,Log Growth in Media,Log Media and Ampicillin
0,Km CDS,Km,9.213801043605164,13.532036950819808,15.204423820100585
1,cfp CDS,cfp,8.339978571990427,11.914665867188027,14.020643555259344
1403,katG CDS,katG,5.970411137910149,12.731276899554329,13.43799689302675
1896,ompA CDS,ompA,6.2646672982949285,12.046626441353364,12.69762930957411
69,ahpF CDS,ahpF,5.205836513753871,12.178726285698641,12.593321167913007
68,ahpC CDS,ahpC,5.44097366694956,11.142909543665786,12.529999854649091
928,fusA CDS,fusA,5.934453181279474,12.102830255430126,12.465569340910132
596,dnaK CDS,dnaK,5.08862461295795,9.772495789463616,12.240827471952283
2784,tufA CDS,tufA,5.545828274310541,11.685966591477516,12.220102925887062
2410,rpoA CDS,rpoA,5.183654458227897,11.691839835001158,11.870968139805147
2626,sufB CDS,sufB,5.111987788356544,10.773971665041403,11.861207453050897
611,dps CDS,dps,6.089044875446846,11.014352250712879,11.844882762671917
2531,secY CDS,secY,5.104934862394657,11.386208893848995,11.834334823914396
429,cspA CDS,cspA,6.298949246855942,10.812458224692485,11.822669864574246
2412,rpoC CDS,rpoC,5.01396308418893,11.483201382403976,11.77047044300177
2373,rplB CDS,rplB,4.722953221644475,11.422884047495504,11.755799745571181
368,clpA CDS,clpA,5.556184353920632,10.89812725082126,11.680023394826026
2421,rpsB CDS,rpsB,4.830976854721785,11.23064654693185,11.678691284278372
2422,rpsC CDS,rpsC,4.76359742258261,11.335330719182656,11.66571951069973
904,ftsH CDS,ftsH,4.749270529961848,10.751934752179853,11.628473412083524
2374,rplC CDS,rplC,4.743481801785603,11.268977409648931,11.61074159317052
1075,groL CDS,groL,4.4620693423474185,9.964739428567892,11.606386967325951
2420,rpsA CDS,rpsA,5.3238226569563984,11.077075888852333,11.593154309165442
2628,sufD CDS,sufD,4.618415412738112,10.541544766778113,11.580982787856918
2372,rplA CDS,rplA,4.61512051684126,11.248449806411498,11.556733397138336
1049,glyA CDS,glyA,4.907740870933623,11.40585237257854,11.54465343390329
2379,rplJ CDS,rplJ,4.658710952916121,11.048636144585272,11.481319552160237
2423,rpsD CDS,rpsD,4.980176086611547,11.252566688167338,11.428740997594693
2177,purL CDS,purL,4.58836306767171,10.852393898511428,11.427153319815549
2375,rplD CDS,rplD,4.505349850705881,11.105242900121105,11.426799150742431
28,acnB CDS,acnB,4.621699487939302,10.777009952559345,11.416385195582496
760,fecA CDS,fecA,3.8642323415917974,9.430532906654129,11.388912438156803
2376,rplE CDS,rplE,4.553876891600541,11.032523964740179,11.382275630950769
2785,tufB CDS,tufB,4.7535901911063645,11.097803882828751,11.35825798495809
123,araA CDS,araA,4.859812404361672,11.028154669189217,11.282400571789733
1019,glpD CDS,glpD,6.969477337610134,10.072836438026044,11.273445023747978
2384,rplO CDS,rplO,4.460144413937834,10.773524899892822,11.249281048123885
2411,rpoB CDS,rpoB,4.832305758571839,10.81864430836908,11.243323404066098
1307,infC CDS,infC,5.469465622743866,10.6457423072031,11.242131100180012
2377,rplF CDS,rplF,4.371555334806586,10.845822828258083,11.237343226714685
2621,sucA CDS,sucA,4.5217885770490405,10.735776918244,11.227219217068699
124,araB CDS,araB,4.830976854721785,11.29670580477051,11.223009788770685
2432,rpsM CDS,rpsM,4.499809670330265,10.903800754620542,11.219126947368744
2630,sufS CDS,sufS,4.045970977937885,10.009033051083565,11.211261657575804
1306,infB CDS,infB,4.529008825022528,10.638172471410616,11.1990454252278
1388,iscS CDS,iscS,3.9252682321781664,10.041247492240613,11.195768808952634
2430,rpsK CDS,rpsK,4.426840650463674,10.952095189843703,11.176753183358013
369,clpB CDS,clpB,4.2243976904702984,9.057558199759523,11.158825773648731
1634,mgtA CDS,mgtA,4.373658385003365,10.52531773434503,11.143199053286764
2426,rpsG CDS,rpsG,4.490507277667952,10.72765568553424,11.123294335164593
2385,rplP CDS,rplP,4.148411783492376,10.763109162612164,11.092516755356446
2622,sucB CDS,sucB,4.3481250829982,10.50090821663567,11.075355466086222
2623,sucC CDS,sucC,4.375757021660286,10.60225225854678,11.069111863214733
948,gapA CDS,gapA,4.817589773939326,10.562176992293132,11.066349258055192
2580,sodA CDS,sodA,4.099884742597716,10.181952275438299,11.063210619337342
2424,rpsE CDS,rpsE,4.2243976904702984,10.679373802317352,11.055456283615268
2381,rplL CDS,rplL,4.145776735854371,10.525402749524766,11.048424004327947
2429,rpsJ CDS,rpsJ,4.496099090933729,11.059802551332528,11.030468615254682
2391,rplV CDS,rplV,4.1666652238017265,10.7162531205006,11.026732831421025
1033,gltB CDS,gltB,4.420846626523463,10.37704216125165,11.026421111142723
1677,mntH CDS,mntH,5.362855887685608,9.53079210575739,11.024980515121772
2403,rpmI CDS,rpmI,5.37989735354046,10.381309497280188,11.015328620450578
3277,ydbK CDS,ydbK,4.994957481377026,10.043220508983952,11.01142291266509
208,atpA CDS,atpA,4.677490847567717,11.140046126609578,10.999663542503887
2433,rpsN CDS,rpsN,4.243721963296702,10.75920699450501,10.99581345656153
2392,rplW CDS,rplW,4.274348620875693,10.81024969794378,10.992868474056936
1494,lpd CDS,lpd,4.440688547322468,10.47963264242276,10.99269463951894
