,Gene Name,Gene Symbol,Avg. Stationary Phase,Avg. Growth in Media,Avg. Media and Ampicillin
0,Km CDS,Km,10034.666666666666,753163.0,4010489.3333333335
1,cfp CDS,cfp,4188.0,149442.33333333334,1227688.3333333333
1403,katG CDS,katG,391.6666666666667,338160.8333333333,685563.8333333334
1896,ompA CDS,ompA,525.6666666666666,170523.16666666666,326971.8333333333
69,ahpF CDS,ahpF,182.33333333333334,194604.83333333334,294584.5
68,ahpC CDS,ahpC,230.66666666666666,69072.33333333333,276509.3333333333
928,fusA CDS,fusA,377.8333333333333,180381.66666666666,259255.5
596,dnaK CDS,dnaK,162.16666666666666,17544.5,207073.16666666666
2784,tufA CDS,tufA,256.1666666666667,118891.5,202825.83333333334
2410,rpoA CDS,rpoA,178.33333333333334,119591.83333333333,143052.66666666666
2626,sufB CDS,sufB,166.0,47761.333333333336,141663.16666666666
611,dps CDS,dps,441.0,60739.666666666664,139369.33333333334
2531,secY CDS,secY,164.83333333333334,88098.33333333333,137907.0
429,cspA CDS,cspA,544.0,49635.333333333336,136307.66666666666
2412,rpoC CDS,rpoC,150.5,97071.33333333333,129375.0
2373,rplB CDS,rplB,112.5,91389.33333333333,127490.83333333333
368,clpA CDS,clpA,258.8333333333333,54075.0,118187.0
2421,rpsB CDS,rpsB,125.33333333333333,75406.33333333333,118029.66666666667
2422,rpsC CDS,rpsC,117.16666666666667,83728.16666666667,116508.5
904,ftsH CDS,ftsH,115.5,46720.333333333336,112248.83333333333
2374,rplC CDS,rplC,114.83333333333333,78352.83333333333,110276.0
1075,groL CDS,groL,86.66666666666667,21263.333333333332,109796.83333333333
2420,rpsA CDS,rpsA,205.16666666666666,64671.5,108353.5
2628,sufD CDS,sufD,101.33333333333333,37856.0,107042.66666666667
2372,rplA CDS,rplA,101.0,76760.83333333333,104478.16666666667
1049,glyA CDS,glyA,135.33333333333334,89846.0,103223.66666666667
2379,rplJ CDS,rplJ,105.5,62858.166666666664,96888.83333333333
2423,rpsD CDS,rpsD,145.5,77077.5,91926.16666666667
2177,purL CDS,purL,98.33333333333333,51657.666666666664,91780.33333333333
2375,rplD CDS,rplD,90.5,66519.0,91747.83333333333
28,acnB CDS,acnB,101.66666666666667,47906.666666666664,90797.33333333333
760,fecA CDS,fecA,47.666666666666664,12463.166666666666,88336.83333333333
2376,rplE CDS,rplE,95.0,61853.5,87752.5
2785,tufB CDS,tufB,116.0,66026.0,85670.0
123,araA CDS,araA,129.0,61583.833333333336,79411.66666666667
1019,glpD CDS,glpD,1063.6666666666667,23690.666666666668,78703.66666666667
2384,rplO CDS,rplO,86.5,47740.0,76824.66666666667
2411,rpoB CDS,rpoB,125.5,49943.333333333336,76368.33333333333
1307,infC CDS,infC,237.33333333333334,42013.333333333336,76277.33333333333
2377,rplF CDS,rplF,79.16666666666667,51319.333333333336,75913.0
2621,sucA CDS,sucA,92.0,45971.5,75148.33333333333
124,araB CDS,araB,125.33333333333333,80555.83333333333,74832.66666666667
2432,rpsM CDS,rpsM,90.0,54382.666666666664,74542.66666666667
2630,sufS CDS,sufS,57.166666666666664,22226.333333333332,73958.66666666667
1306,infB CDS,infB,92.66666666666667,41696.5,73060.66666666667
1388,iscS CDS,iscS,50.666666666666664,22954.0,72821.66666666667
2430,rpsK CDS,rpsK,83.66666666666667,57073.5,71450.0
369,clpB CDS,clpB,68.33333333333333,8583.166666666666,70180.5
1634,mgtA CDS,mgtA,79.33333333333333,37246.666666666664,69092.33333333333
2426,rpsG CDS,rpsG,89.16666666666667,45599.666666666664,67730.66666666667
2385,rplP CDS,rplP,63.333333333333336,47245.333333333336,65677.83333333333
2622,sucB CDS,sucB,77.33333333333333,36348.5,64560.333333333336
2623,sucC CDS,sucC,79.5,40225.333333333336,64158.5
948,gapA CDS,gapA,123.66666666666667,38645.166666666664,63981.5
2580,sodA CDS,sodA,60.333333333333336,26422.0,63781.0
2424,rpsE CDS,rpsE,68.33333333333333,43450.333333333336,63288.333333333336
2381,rplL CDS,rplL,63.166666666666664,37249.833333333336,62844.833333333336
